Freq.	V(vout)
1.32129563418657e-07	(-3.01834497031184e-13dB,-1.51261924201675e-05°)
1.32434153519466e-07	(-3.03763151964291e-13dB,-1.51610618949081e-05°)
1.32739445772973e-07	(-3.05691806897397e-13dB,-1.51960117520896e-05°)
1.33045441797808e-07	(-3.06656134363951e-13dB,-1.52310421770127e-05°)
1.33352143216332e-07	(-3.08584789297057e-13dB,-1.52661533554053e-05°)
1.33659551654643e-07	(-3.10513444230164e-13dB,-1.53013454734232e-05°)
1.33967668742593e-07	(-3.11477771696717e-13dB,-1.53366187176516e-05°)
1.34276496113785e-07	(-3.12442099163271e-13dB,-1.53719732751058e-05°)
1.34586035405594e-07	(-3.15335081562931e-13dB,-1.54074093332320e-05°)
1.34896288259164e-07	(-3.16299409029484e-13dB,-1.54429270799088e-05°)
1.35207256319427e-07	(-3.17263736496037e-13dB,-1.54785267034476e-05°)
1.35518941235103e-07	(-3.19192391429144e-13dB,-1.55142083925942e-05°)
1.35831344658714e-07	(-3.21121046362251e-13dB,-1.55499723365293e-05°)
1.36144468246594e-07	(-3.21121046362251e-13dB,-1.55858187248697e-05°)
1.36458313658891e-07	(-3.23049701295357e-13dB,-1.56217477476695e-05°)
1.36772882559584e-07	(-3.24978356228464e-13dB,-1.56577595954208e-05°)
1.37088176616484e-07	(-3.25942683695017e-13dB,-1.56938544590547e-05°)
1.37404197501250e-07	(-3.28835666094677e-13dB,-1.57300325299428e-05°)
1.37720946889394e-07	(-3.28835666094677e-13dB,-1.57662939998974e-05°)
1.38038426460287e-07	(-3.30764321027784e-13dB,-1.58026390611733e-05°)
1.38356637897177e-07	(-3.32692975960890e-13dB,-1.58390679064684e-05°)
1.38675582887188e-07	(-3.32692975960890e-13dB,-1.58755807289249e-05°)
1.38995263121334e-07	(-3.34621630893997e-13dB,-1.59121777221299e-05°)
1.39315680294529e-07	(-3.36550285827104e-13dB,-1.59488590801173e-05°)
1.39636836105593e-07	(-3.37514613293657e-13dB,-1.59856249973678e-05°)
1.39958732257261e-07	(-3.39443268226764e-13dB,-1.60224756688108e-05°)
1.40281370456195e-07	(-3.41371923159870e-13dB,-1.60594112898247e-05°)
1.40604752412990e-07	(-3.43300578092977e-13dB,-1.60964320562387e-05°)
1.40928879842186e-07	(-3.44264905559530e-13dB,-1.61335381643331e-05°)
1.41253754462274e-07	(-3.47157887959190e-13dB,-1.61707298108407e-05°)
1.41579377995707e-07	(-3.47157887959190e-13dB,-1.62080071929481e-05°)
1.41905752168908e-07	(-3.50050870358850e-13dB,-1.62453705082962e-05°)
1.42232878712281e-07	(-3.51979525291957e-13dB,-1.62828199549815e-05°)
1.42560759360218e-07	(-3.52943852758510e-13dB,-1.63203557315573e-05°)
1.42889395851109e-07	(-3.54872507691617e-13dB,-1.63579780370345e-05°)
1.43218789927353e-07	(-3.54872507691617e-13dB,-1.63956870708829e-05°)
1.43548943335364e-07	(-3.57765490091277e-13dB,-1.64334830330321e-05°)
1.43879857825583e-07	(-3.59694145024384e-13dB,-1.64713661238723e-05°)
1.44211535152486e-07	(-3.60658472490937e-13dB,-1.65093365442561e-05°)
1.44543977074592e-07	(-3.61622799957490e-13dB,-1.65473944954988e-05°)
1.44877185354475e-07	(-3.65480109823704e-13dB,-1.65855401793798e-05°)
